id;device_id;animal_id;animal_type;timestamp;device_status;device_battery;acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z;orientation_x;orientation_y;orientation_z;temperature;Class;;
7013066;D9163AA3B98F;3986;1;2023-10-01 00:00:01.500000+00:00;0;61;-559.266;-485.293;-688.843;0;0;0;-144;0;0;27.811035;;Bead;B
7013067;D9163AA3B98F;3986;1;2023-10-01 00:00:31.500000+00:00;0;62;-30.781;-513.343;-887.429;0;0;0;-149;-6;0;27.31084;;Contraction;C
7013068;D9163AA3B98F;3986;1;2023-10-01 00:01:02.500000+00:00;0;61;109.47;-561.749;-811.47;0;0;0;-145;25;0;27.31084;;Licking;L
7013069;D9163AA3B98F;3986;1;2023-10-01 00:01:32.500000+00:00;0;62;-489.017;-559.266;-659.304;0;0;0;-139;0;0;27.31084;;Expulsion;E
7013070;D9163AA3B98F;3986;1;2023-10-01 00:02:03.500000+00:00;0;61;-651.112;-393.447;-651.112;0;0;0;-148;0;0;27.31084;;ELSE;X
7013071;D9163AA3B98F;3986;1;2023-10-01 00:02:33.500000+00:00;0;61;339.581;-301.105;-775.476;0;0;0;-158;0;0;27.811035;;;
7013072;D9163AA3B98F;3986;1;2023-10-01 00:03:04.500000+00:00;0;61;558.77;-547.599;-537.67;0;0;0;-134;0;0;27.31084;;;
7013073;D9163AA3B98F;3986;1;2023-10-01 00:03:34.500000+00:00;0;61;792.852;-397.171;-183.692;0;0;0;-114;0;0;27.31084;;;
7013074;D9163AA3B98F;3986;1;2023-10-01 00:04:05.500000+00:00;0;61;588.806;-510.365;-620.083;0;0;0;-140;0;0;27.31084;;;
7013075;D9163AA3B98F;3986;1;2023-10-01 00:04:35.500000+00:00;0;60;426.959;-675.439;-740.724;0;0;0;-137;0;0;27.31084;;;
7013076;D9163AA3B98F;3986;1;2023-10-01 00:05:06.500000+00:00;0;61;276.034;-556.536;-856.151;0;0;0;-146;0;0;27.31084;;;
7013077;D9163AA3B98F;3986;1;2023-10-01 00:05:36.500000+00:00;0;62;312.772;-446.073;-841.506;0;0;0;-152;0;0;27.06224;;;
7013078;D9163AA3B98F;3986;1;2023-10-01 00:06:07.500000+00:00;0;62;519.549;-523.769;-844.733;0;0;0;-148;0;0;27.31084;;;
7013079;D9163AA3B98F;3986;1;2023-10-01 00:06:37.500000+00:00;0;61;291.672;-585.827;-806.009;0;0;0;-143;0;0;27.06224;;;
7013080;D9163AA3B98F;3986;1;2023-10-01 00:07:08.500000+00:00;0;62;299.119;-588.061;-786.895;0;0;0;-143;0;0;27.06224;;;
7013081;D9163AA3B98F;3986;1;2023-10-01 00:07:38.500000+00:00;0;61;294.403;-433.164;-731.539;0;0;0;-149;0;0;27.06224;;;
7013082;D9163AA3B98F;3986;1;2023-10-01 00:08:09.500000+00:00;0;61;504.655;-499.442;-748.171;0;0;0;-146;0;0;27.06224;;;
7013083;D9163AA3B98F;3986;1;2023-10-01 00:08:39.500000+00:00;0;61;410.079;-421.498;-534.443;0;0;0;-141;0;0;27.06224;;;
7013084;D9163AA3B98F;3986;1;2023-10-01 00:09:10.500000+00:00;0;61;562.245;-806.009;-939.309;0;0;0;-139;0;0;27.06224;;;
7013085;D9163AA3B98F;3986;1;2023-10-01 00:09:40.500000+00:00;0;62;587.068;-476.853;-563.486;0;0;0;-139;0;0;27.06224;;;
7013086;D9163AA3B98F;3986;1;2023-10-01 00:10:11.500000+00:00;0;61;588.806;-457.491;-466.924;0;0;0;-135;0;0;27.06224;;;
7013087;D9163AA3B98F;3986;1;2023-10-01 00:10:41.500000+00:00;0;61;343.801;-487.279;-688.595;0;0;0;-144;0;0;27.06224;;;
7013088;D9163AA3B98F;3986;1;2023-10-01 00:11:12.500000+00:00;0;62;272.062;-519.053;-769.27;0;0;0;-145;0;0;26.562046;;;
7013089;D9163AA3B98F;3986;1;2023-10-01 00:11:43.500000+00:00;0;62;266.104;-796.079;-833.066;0;0;0;-136;0;0;26.810646;;;
7013090;D9163AA3B98F;3986;1;2023-10-01 00:12:13.500000+00:00;0;62;529.478;-490.01;-696.29;0;0;0;-144;0;0;26.562046;;;
7013091;D9163AA3B98F;3986;1;2023-10-01 00:12:44.500000+00:00;0;61;491.003;-352.737;-546.11;0;0;0;-147;0;0;26.562046;;;
7013092;D9163AA3B98F;3986;1;2023-10-01 00:13:14.500000+00:00;0;61;485.045;-328.162;-619.338;0;0;0;-152;0;0;26.810646;;;
7013093;D9163AA3B98F;3986;1;2023-10-01 00:13:45.500000+00:00;0;61;539.159;-367.631;-610.65;0;0;0;-148;0;0;26.562046;;;
7013094;D9163AA3B98F;3986;1;2023-10-01 00:14:15.500000+00:00;0;61;588.558;-527.493;-531.464;0;0;0;-135;0;0;26.562046;;;
7013095;D9163AA3B98F;3986;1;2023-10-01 00:14:46.500000+00:00;0;61;548.344;-446.321;-771.504;0;0;0;-149;0;0;26.810646;;;
7013096;D9163AA3B98F;3986;1;2023-10-01 00:15:16.500000+00:00;0;62;616.36;-460.966;-605.189;0;0;0;-142;0;0;26.562046;;;
7013097;D9163AA3B98F;3986;1;2023-10-01 00:15:47.500000+00:00;0;62;606.182;-390.965;-583.593;0;0;0;-146;0;0;26.31045;;;
7013098;D9163AA3B98F;3986;1;2023-10-01 00:16:17.500000+00:00;0;62;614.125;-473.378;-642.424;0;0;0;-143;0;0;26.562046;;;
7013099;D9163AA3B98F;3986;1;2023-10-01 00:16:48.500000+00:00;0;61;633.736;-479.832;-632.991;0;0;0;-142;0;0;26.31045;;;
